No,LCD,VF,density,KH,PLD,ASA,Va,MaxER,MinER,C_ratio,APC,ANC,A¦Å,A¦Ò,type,Qst,¦¤W,-<¦¤adsH>,Free_energy_ave
35,6.49619,0.448926,1.77195,164417,6.07699,635.609,0.189057,0.390789535,0.283512041,0.34375,0.621899133,-0.548734706,1.912733892,0.167900893,1,36.288599,0.028401826,58.77353,-474.4459099
36,6.88488,0.733694,0.887006,0.000784142,5.07148,2778.92,0.681844,0.483275771,0.212856774,0.428571429,0.451849583,-0.338887313,1.422868646,0.102651636,1,26.91719997,0.039417168,31.412485,-324.7283333
43,7.12611,0.313672,1.98392,0.841268,5.03994,351.459,0.114722,0.404909909,0.259601282,0.269662921,0.390850755,-0.437380571,2.623190701,0.245254184,1,51.21745241,0.039700545,59.344345,-462.4596739
45,11.50079,0.823926,0.64997,0.00137066,5.75746,3528.79,1.05728,0.474617669,0.226323022,0.52,0.377956567,-0.2519711,1.165689951,0.093795018,1,132.9992578,0.171237169,35.728025,-269.5805094
46,7.79386,0.618085,0.979833,0.125631,4.84092,1877.78,0.48049,0.432322352,0.269581407,0.447368421,0.353873697,-0.353873447,1.744855053,0.145330939,1,115.6487025,0.096902105,54.89912,-370.0202642
47,5.95317,0.372301,1.33865,0.042303,5.66011,805.585,0.209614,0.498485811,0.180170646,0.425,0.393055816,-0.355621976,2.039504487,0.177755101,1,128.4504604,0.108501424,54.457545,-383.5788594
48,6.01448,0.484897,1.4324,8546290,4.33197,781.953,0.197989,0.373836843,0.303622379,0.470588235,0.530288847,-0.361295681,2.142769091,0.176937049,1,7.8663331,0.006393525,56.59653,-428.1170549
49,6.08549,0.497765,1.41539,13751.8,4.42105,817.978,0.202913,0.368015635,0.308525352,0.48,0.539887183,-0.359924794,2.17971267,0.171363994,1,12.25517122,0.008382468,67.252015,-429.7754367
52,8.96828,0.827577,0.566919,1092.02,6.55754,5203.69,1.29648,0.428404712,0.235344516,0.488372093,0.341042934,-0.269992323,1.04926368,0.084688337,1,352.1219986,0.391294821,41.394905,-289.8379105
53,8.90301,0.828044,0.590909,7611.62,6.54764,5005.69,1.24283,0.428300145,0.235395236,0.488372093,0.340930237,-0.269903135,1.058896427,0.085462621,1,316.4428021,0.335886389,43.33718,-285.5289076
