No,name,LCD,VF,Density,PLD,Va,ASA
419,BELJIL_freeONLY,7.21036,0.459,1.28754,5.21436,0.356494,674.07
420,BELTOD_freeONLY,5.92256,0.5192,1.14537,3.4803,0.453304,952.475
421,BELVEV_charged,6.99036,0.6356,0.885864,4.92473,0.717492,2152.69
422,BENXUP_freeONLY,4.10217,0.4814,1.4733,3.42336,0.326749,443.252
423,BENZOL_freeONLY,4.97848,0.4414,1.25103,3.68781,0.352828,638.426
424,BENZUR_freeONLY,4.83987,0.4574,1.34426,3.70828,0.340261,561.146
425,BEPBAB_freeONLY,4.49336,0.4304,1.14453,3.97632,0.376049,663.46
426,BEPMAM_freeONLY,9.69087,0.5648,1.05853,9.5819,0.533572,1003.62
427,BEPMIU_freeONLY,10.07029,0.6036,1.02149,9.95473,0.590899,1119.35
428,BEPNER_freeONLY,3.72227,0.452,1.18822,2.61847,0.380399,0
429,BEPNIV_freeONLY,8.1636,0.5452,1.10994,8.05659,0.491196,806.948
430,BEPNOB_freeONLY,9.68007,0.5748,1.05484,9.57164,0.544915,1012.1
431,BEPNUH_freeONLY,10.32563,0.6056,1.16569,10.2098,0.519521,946.742
432,BEPPAP_freeONLY,9.9082,0.5902,1.03173,9.78954,0.57205,1121.89
433,BEPPIX_freeONLY,7.73286,0.4908,1.20493,7.60297,0.407327,715.847
434,BEPPOD_freeONLY,9.61522,0.5396,1.11995,9.50294,0.481807,859.704
435,BEPREV01_freeONLY,6.64209,0.6368,0.808218,5.02845,0.787906,3141.59
436,BEPREV02_freeONLY,7.19383,0.6548,0.766283,5.44633,0.854514,3265.37
437,BEPREV03_freeONLY,6.75186,0.64,0.798706,5.16957,0.801296,3154.09
438,BEPREV_freeONLY,6.75364,0.6402,0.798706,5.16047,0.801547,3156.46
439,BEPRIZ_freeONLY,10.21454,0.673,0.764371,6.03558,0.880463,2730.76
440,BEPROF_freeONLY,8.00306,0.687,0.730038,5.96794,0.941046,3264.96
441,BEPVAV_freeONLY,4.46396,0.503,1.36696,3.25406,0.367969,0
442,BEPVEZ_freeONLY,5.76875,0.5084,1.26954,4.44638,0.400459,746.277
443,BEPVID_freeONLY,5.29029,0.5122,1.30564,4.21546,0.392299,635.159
444,BEPVOJ01_freeONLY,5.12362,0.5126,1.3287,3.97858,0.38579,597.937
445,BEPVOJ_freeONLY,4.87498,0.5034,1.35072,3.77095,0.37269,527.818
446,BERFIP_freeONLY,4.07847,0.3926,1.95363,2.71437,0.200959,0
447,BERGAI_freeONLY,5.28761,0.4878,1.49712,2.67572,0.325826,0
448,BERQIA_freeONLY,6.73458,0.5966,1.14732,3.84255,0.519995,1458.59
449,BETFOX_freeONLY,4.86683,0.4824,1.40386,3.12928,0.343625,0
450,BEVQID_freeONLY,2.83934,0.3884,2.18602,2.50287,0.177675,0
451,BEVRAW_freeONLY,2.78564,0.378,1.82695,2.48338,0.206902,0
452,BEVWAB_freeONLY,10.82145,0.6172,1.13595,10.4749,0.543335,1414.52
453,BEWWEH_freeONLY,9.01955,0.7674,0.713962,7.89385,1.07485,3323.78
454,BEXPAX_freeONLY,6.17717,0.5322,1.08194,5.82599,0.491894,1218.47
455,BEXQIF_freeONLY,8.04962,0.7172,0.683962,5.28644,1.0486,3605.99
456,BEXQOL_freeONLY,8.04915,0.7174,0.699237,5.31359,1.02598,3534.09
457,BEXQUR_freeONLY,8.07729,0.72,0.705667,5.36514,1.02031,3511.67
458,BEXRAY_freeONLY,8.11263,0.7392,0.639388,5.64009,1.15611,4051.63
459,BEXREC_freeONLY,8.13134,0.7388,0.665352,5.54983,1.11039,3933.67
460,BEXRIG_freeONLY,8.16514,0.7394,0.67222,5.60091,1.09994,3894.19
461,BEXRUT_freeONLY,4.83185,0.4806,1.31051,3.03133,0.366729,0
462,BEXSEE_freeONLY,4.85661,0.4754,1.28458,3.09546,0.370083,0
