No,name,LCD,VF,Density,PLD,Va,ASA,,,,,,
114,single crstal COF-300,8.9758,0.62849,0.73528,8.87996,0.85476,1887.91003,,,,,,
115,dia-c5 COF-300,9.35662,0.72525,0.54532,9.26179,1.32996,3301.47998,,,,,,
116,dia-c7 COF-300,4.51116,0.4606,1.04197,4.33796,0.44205,425.80899,,,,,,
117,COF-316,13.0458,0.55676,1.1398,12.74558,0.48847,1137.10999,,,,,,
118,COF-318,13.04187,0.57778,1.14329,12.78481,0.50537,1019.62,,,,,,
119,COF-320,8.45131,0.62757,0.70169,8.28768,0.89437,1815.68994,,,,,,
120,COF-366-Co,20.75693,0.76342,0.49548,20.3011,1.54077,2260.3999,,,,,,
121,COF-366-F-Co,19.03171,0.74376,0.54801,18.58824,1.3572,2141.53003,,,,,,
122,COF-366-(F)4-Co,18.71554,0.73125,0.6067,18.4425,1.2053,1884.75,,,,,,
123,COF-366-(OMe)2-Co,18.1577,0.72891,0.54907,17.98332,1.32753,2353.77002,,,,,,
124,COF-366,20.45325,0.81311,0.36178,18.69032,2.24753,4020.01001,,,,,,
125,COF-367-Co,19.69774,0.82334,0.42877,18.6518,1.92023,3449.02002,,,,,,
126,COF 3BD,31.00321,0.78767,0.4117,30.82864,1.9132,2242.76001,,,,,,
127,COF 3PD,23.37386,0.74386,0.5069,23.14667,1.46748,2038.02002,,,,,,
128,COF-42,17.18555,0.72878,0.5601,16.8085,1.30116,2647.34009,,,,,,
129,COF-43,32.49748,0.82131,0.34783,32.26851,2.36122,2602.62012,,,,,,
130,COF-5,23.65772,0.7245,0.58397,23.42499,1.24065,1707.31006,,,,,,
131,COF-505,3.73312,0.32296,1.43638,1.96773,0.22484,0,,,,,,
132,COF-506-Cu,12.61055,0.82172,0.35693,10.60686,2.30216,6156.06982,,,,,,
133,COF-6,9.14896,0.52887,0.99606,8.56216,0.53096,1128.28003,,,,,,
134,COF-66,26.99886,0.86251,0.28166,26.65941,3.06221,4453.25,,,,,,
135,COF-8,16.54198,0.64798,0.69805,16.21639,0.92827,1601.43005,,,,,,
136,COF-921,17.6262,0.6782,0.72593,17.28794,0.93426,1616.93994,,,,,,
137,COF-AA-H,25.68704,0.73848,0.50982,25.30476,1.4485,2293.90991,,,,,,
138,COF-AO,18.33931,0.6805,0.60361,18.04318,1.12739,2152.63989,,,,,,
139,COF-ASB,25.45909,0.79385,0.40875,25.21032,1.94212,2609.27002,,,,,,
140,COF-BABD-BZ,12.52501,0.75873,0.46132,10.98125,1.64471,5124.43994,,,,,,
141,COF-BABD-DB,11.59954,0.71232,0.54174,10.12633,1.31488,3856.43994,,,,,,
142,COF-BPDA,32.11213,0.77281,0.43186,31.98616,1.78949,2488.97998,,,,,,
143,COF-BTA-DHBZ,21.39054,0.6229,0.75394,21.24913,0.82619,1387.27002,,,,,,
144,COFBTA-PDA,17.12234,0.70765,0.52156,16.83324,1.3568,2403.04004,,,,,,
145,COF-C,25.33571,0.83065,0.33425,24.86859,2.48513,3463.21997,,,,,,
146,COF-DL229,11.09613,0.67166,0.62184,9.65747,1.08012,2302.54004,,,,,,
147,COF-DL229 2-fold interpenetrated,17.57339,0.91796,0.1562,14.36485,5.87665,8392.83008,,,,,,
148,COF-DL229 3-fold interpenetrated ,10.72378,0.87418,0.23824,10.154,3.66928,8475.03027,,,,,,
149,COF-DL229 5-fold interpenetrated ,11.25124,0.80422,0.37496,11.19865,2.14482,6761.89014,,,,,,
150,COF-DL229 6-fold interpenetrated,10.16733,0.75342,0.46702,9.67446,1.61326,3559.84009,,,,,,
151,COF-DL229 7-fold interpenetrated ,10.21407,0.70165,0.57687,10.08223,1.21631,2580.72998,,,,,,
152,COF-DL229 non-interpenetrated,31.85404,0.95931,0.0787,24.57474,12.189,8534.80957,,,,,,
153,COF-ETTA-ETTCA,14.87351,0.72096,0.51415,14.64627,1.40223,2615.26001,,,,,,
154,COF-F,27.13079,0.75037,0.55711,26.94152,1.3469,1680.04004,,,,,,
155,COF-F6,10.56229,0.57057,1.08544,9.7242,0.52566,796.69299,,,,,,
156,COF-FADA-DAB with AA stacking,24.1474,0.70826,0.55338,23.89316,1.27988,2112.84009,,,,,,
157,COF-HQ,17.17805,0.59693,0.77684,16.82414,0.76841,1692.73999,,,,,,
158,COF-JLU2,10.18081,0.57264,0.94141,9.74184,0.60828,1307.15002,,,,,,
159,COF-JLU3,14.58226,0.70794,0.54001,13.58549,1.31098,2771.12012,,,,,,
160,COF-JLU4,21.55193,0.7095,0.62459,21.34046,1.13595,1678.69995,,,,,,
161,COF-K,9.51559,0.4842,0.99729,9.06842,0.48552,605.03998,,,,,,
162,COF-LZU1,15.98839,0.7068,0.57227,15.60159,1.23508,2212.22998,,,,,,
163,COF-LZU8,9.02368,0.53091,0.92013,8.40883,0.57699,498.04199,,,,,,
164,COF-m-3Ph,11.16226,0.59192,0.7806,10.67786,0.75829,1501.27002,,,,,,
165,COF-Me AA stacking mode,35.70981,0.83528,0.31965,35.49808,2.61311,2543.05005,,,,,,
166,COF-Naph,11.69348,0.61793,0.73453,11.24577,0.84127,1878.98999,,,,,,
167,COF-NHC,17.40166,0.52413,0.89429,17.10247,0.58608,931.42102,,,,,,
168,COF-NUST-1,23.86923,0.85985,0.28938,22.83776,2.97133,6042.70996,,,,,,
169,COF-O,25.75558,0.84708,0.29934,25.24985,2.82979,3938.86011,,,,,,
170,COF-p-2Ph,24.06097,0.72,0.52662,23.81541,1.36721,1836.46997,,,,,,
171,COF-p-3Ph,32.23261,0.77406,0.42026,32.05735,1.84184,1982.25,,,,,,
172,COF-QA AA stacking mode,17.68947,0.814,0.33602,16.88399,2.42246,4052.83008,,,,,,
173,COF-SDU1,38.88757,0.84211,0.31283,38.73254,2.69187,2576.98999,,,,,,
174,COF-Tirf-Benz,37.65768,0.85471,0.28212,37.57103,3.0296,3115.06006,,,,,,
175,COF-TpAab,26.54457,0.7667,0.47378,26.35383,1.61827,2087.62012,,,,,,
176,COF-TpAzo,26.05354,0.77613,0.498,25.82308,1.55848,2080.82007,,,,,,
177,COF-TPDA,38.87484,0.80107,0.37345,38.80415,2.14503,2615.83008,,,,,,
178,COF-TpDb,13.00429,0.64686,0.73155,12.63935,0.88423,1703.72998,,,,,,
179,COF-TpTU,19.17629,0.73683,0.53952,19.01342,1.36571,2136.29004,,,,,,
180,COF-TpU,27.20541,0.788,0.4414,27.09753,1.78521,2185.05005,,,,,,
181,COF-TVBT-PA calculated based on staggered AA model,39.10948,0.83403,0.31194,38.96494,2.67369,2624.19995,,,,,,
182,COF-V,26.2053,0.76615,0.42892,25.97309,1.78624,2390.20996,,,,,,
183,COFs,38.18265,0.82078,0.33313,38.02857,2.46386,2431.3999,,,,,,
184,CoPc-PorDBA,25.51781,0.85162,0.30902,24.69222,2.7559,4127.97021,,,,,,
