No,name,LCD,VF,Density,PLD,Va,ASA,,,,,,
554,TPE-COF-IV,15.91587,0.73139,0.50946,15.50749,1.43563,2692.23999,,,,,,
555,TPE-COF-OH,33.05042,0.95527,0.08314,32.91403,11.4904,5827.43994,,,,,,
556,TPE-COF-OMe,15.39922,0.89924,0.16132,15.16923,5.57435,12038.5996,,,,,,
557,TPE-Ph COF,23.82758,0.70641,0.59656,23.44404,1.18414,1889.14001,,,,,,
558,TPE-Ph COF,27.21944,0.79284,0.42372,26.57146,1.87114,2947.63989,,,,,,
559,TPE-TAP-COF,11.07816,0.60426,0.80163,10.44122,0.75379,1492.72998,,,,,,
560,TpFn,21.25758,0.69989,0.6544,21.04598,1.06951,1559.44995,,,,,,
561,TPHH-COF AB,8.52354,0.6713,0.68553,8.17764,0.97925,2379.22998,,,,,,
562,TpOMe-Azo,25.83251,0.64963,0.97187,25.64626,0.66843,887.258,,,,,,
563,TpOMe-BD(NO2)2 ,20.94719,0.57819,1.3328,20.91048,0.43382,697.63898,,,,,,
564,TpOMe-BPy,21.3994,0.59934,1.14782,21.36297,0.52216,814.45398,,,,,,
565,TpOMe-DAQ,20.86486,0.59373,1.29209,20.81371,0.45951,701.323,,,,,,
566,TpOMe-Pa1,13.21326,0.45318,1.46236,12.85958,0.3099,616.27301,,,,,,
567,CTF-0,2.61804,0.248,1.66978,1.303,0.14852,0,,,,,,
568,EB-COF:I,10.55423,0.57493,1.02107,10.03477,0.56307,1194.60999,,,,,,
569,TpPa-1-F2,15.57999,0.63882,0.82531,15.27966,0.77404,1359.12,,,,,,
570,TpPa-1,16.14031,0.65932,0.70566,15.82205,0.93432,1627.89001,,,,,,
571,TpPa-2,13.76832,0.61158,0.77958,13.37953,0.7845,1538.17004,,,,,,
572,TpPa-F4,14.90134,0.59572,1.01852,14.60213,0.58489,1077.26001,,,,,,
573,TpPa-NO2,11.44839,0.58285,0.96086,11.09828,0.60659,1281.10999,,,,,,
574,TpPa-(OH)2,12.70656,0.61905,0.82777,12.29359,0.74786,1487.72998,,,,,,
575,TpPa-(OMe)2,10.47163,0.56063,0.90484,9.83921,0.61959,1154.93994,,,,,,
576,TpPa-Py,14.95308,0.66154,0.71838,14.7679,0.92088,1680.5,,,,,,
577,TpPa-SO3H-Py,12.12025,0.6103,0.86459,11.81351,0.70588,1384.18005,,,,,,
578,TpPa-SO3H,11.55867,0.58537,0.9388,11.08735,0.62353,1259.14001,,,,,,
579,TPT-Azine-COF,22.41416,0.76802,0.4806,22.12966,1.59805,2458.56006,,,,,,
580,TPT-BD COF,34.76966,0.81162,0.38502,34.60352,2.10799,2391.57007,,,,,,
581,TPT-COF-1,19.70169,0.68237,0.65483,19.38528,1.04206,1504.72998,,,,,,
582,TPT-COF-2,28.92517,0.77389,0.45703,28.27452,1.69331,1870.31006,,,,,,
583,TPT-COF-4,17.20404,0.71205,0.57893,17.07883,1.22995,2117.95996,,,,,,
584,TPT-COF-5,18.37499,0.7086,0.58093,18.25002,1.21977,1985.66003,,,,,,
585,TPT-COF-6,18.51682,0.70959,0.58777,18.21743,1.20727,1895.14001,,,,,,
586,TPT-DAHQ COF,28.64639,0.77762,0.47122,28.44948,1.65024,1957.64001,,,,,,
587,TPT-DHBD COF,32.45911,0.79607,0.42396,32.28787,1.87771,2271.82007,,,,,,
588,TPT-DMBD-COF,36.80897,0.85104,0.30588,36.56538,2.7823,2763.38989,,,,,,
589,TPT-TAPB-COF,22.03485,0.78996,0.38393,21.62618,2.05756,3055.20996,,,,,,
590,TpTD,31.79278,0.79112,0.41393,31.61215,1.91124,2155.76001,,,,,,
591,TpTe-1 AB,10.31205,0.76468,0.45427,9.78342,1.68331,5095.2002,,,,,,
592,TpTe-1 AA,25.9916,0.76487,0.45122,25.77334,1.69511,2115.88989,,,,,,
593,TRIPTA,12.3729,0.62197,0.79265,11.93881,0.78467,1502.18994,,,,,,
594,TS-COF-1,29.79749,0.76171,0.51037,29.60757,1.49246,1719.84998,,,,,,
595,TS-COF-2,11.30825,0.6116,0.80209,10.84085,0.76251,1553.48999,,,,,,
596,TT-COF,26.31246,0.74494,0.57511,26.12562,1.2953,1610,,,,,,
597,TTF-COF,18.55944,0.79302,0.41347,18.12098,1.91798,3391.18994,,,,,,
598,TTF-DMTA-1 COF with the slipped eclipsed sql net,17.25338,0.70558,0.60353,16.81645,1.16908,2047.84998,,,,,,
599,TTF-DMTA COF with the staircase SP sql net,11.31706,0.62682,0.76071,11.03238,0.82399,1450.43005,,,,,,
600,TTF-Ph-COF,16.08668,0.68386,0.63818,15.51812,1.07158,1965,,,,,,
601,TTF-Py-COF,13.31199,0.61489,0.76719,13.08207,0.80149,1567.98999,,,,,,
602,TTF-TA COF with AA packing,17.09377,0.73911,0.53222,16.84206,1.38873,2353.6001,,,,,,
603,TTF-TA COF with AB packing,4.18324,0.46567,1.08674,3.14916,0.4285,0,,,,,,
604,TThPP,17.83709,0.8108,0.39048,16.65947,2.07642,3780.22998,,,,,,
605,TTI-COF,18.52289,0.71396,0.56741,18.22137,1.25829,1958.51001,,,,,,
606,TzBA,36.22341,0.83318,0.33931,36.02662,2.45554,2541.97998,,,,,,
607,TzDa,29.23421,0.7854,0.46773,29.06389,1.67917,1974.52002,,,,,,
608,"VO-TAPT-2,3-DHTA COF ",24.92209,0.70882,0.91958,24.79659,0.77081,1040.14001,,,,,,
609,ZnP-COF,19.04547,0.82341,0.36339,17.93106,2.26591,4000.11011,,,,,,
610,ZnPc-DPB,26.759,0.75702,0.54536,26.56374,1.38812,1798,,,,,,
611,ZnPc-NDI,27.16248,0.73395,0.61009,26.96935,1.20302,1428.10999,,,,,,
612,ZnPc-PPE,32.24041,0.79171,0.42973,32.07534,1.84233,2060.26001,,,,,,
613,ZnPc-Py,18.52886,0.6609,0.78016,18.25807,0.84713,1311.62,,,,,,
