[0.02372797 0.44022292 0.02053001 0.65978845]
[0.02324534 0.44676239 0.02060561 0.6023439 ]
[0.02280503 0.4561647  0.01282529 0.61934926]
[0.02340654 0.4715139  0.01782127 0.59589425]
[0.02274607 0.48816152 0.01346567 0.69997918]
[0.01560126 0.32407939 0.03611861 0.51953165]
[0.0228246  0.27449209 0.03266836 0.59915822]
[0.06210516 0.26741797 0.05668044 0.46807474]
[0.09692828 0.25500535 0.13873024 0.42955571]
[0.06691435 0.57765991 0.07147168 0.37054447]
[0.04919029 0.30217228 0.05868972 0.54686964]
[0.0125428  0.29537733 0.0665259  0.53880206]
[0.04356945 0.40081223 0.05233336 0.49934393]
[0.04659685 0.4214104  0.05034956 0.49082095]
[0.08957701 0.23722524 0.14327766 0.37667747]
[0.06634023 0.26498443 0.08402463 0.34072082]
[0.12291726 0.24851328 0.12587311 0.40602641]
[0.1100863  0.24353032 0.11909975 0.44285649]
[0.12159828 0.2577602  0.1151351  0.41659402]
[0.12235219 0.24547662 0.0993506  0.42984598]
[0.10519148 0.22737994 0.22622522 0.3322579 ]
[0.04034612 0.33456152 0.01831944 0.56211615]
[0.0674031  0.43610118 0.03399709 0.51583493]
[0.07691117 0.2030335  0.04728283 0.2398303 ]
[0.08281209 0.49192771 0.04762461 0.52159303]
[0.18982476 0.14060533 0.20627251 0.28336332]
[0.09914648 0.22748134 0.1166161  0.47675181]
[0.05411984 0.32198297 0.13060618 0.47229742]
[0.05561959 0.3466739  0.00745262 0.49387444]
[0.05735663 0.34219398 0.00985151 0.60136168]
[0.12787494 0.11873219 0.47168668 0.34052799]
[0.12627831 0.12505044 0.40485791 0.3601207 ]
[0.09030133 0.21423883 0.13267612 0.32760247]
[0.0694119  0.3624998  0.03504305 0.41405192]
[0.18663738 0.22814819 0.11818814 0.33602115]
[0.17666454 0.22910054 0.11235592 0.29432713]
[0.12892729 0.23922422 0.15203121 0.45573273]
[0.05759048 0.31800608 0.02294941 0.44435544]
[0.06038647 0.31968111 0.01244877 0.44800585]
