[-0.07820571  0.11295681]
[ 0.14691335 -0.04249459]
[ 0.1313971  -0.04274293]
[-0.04044394  0.12857555]
[-0.05643628  0.0710896 ]
[-0.05824753  0.06529923]
[-0.03655621  0.11256447]
[-0.02920446  0.08743945]
[-0.03332906  0.1042687 ]
[-0.05305248  0.06926511]
[-0.04968521  0.08858731]
[-0.0679094   0.07112097]
[-0.12374042 -0.04451853]
[-0.10873677 -0.03953365]
[-0.14641741 -0.03863825]
[-0.14807475 -0.04041265]
[-0.06571678  0.09512873]
[-0.02765397  0.18263818]
[0.0193562  0.25681462]
[0.00695215 0.27804358]
[0.01848337 0.26802705]
[0.01312232 0.28524133]
[-0.13723301 -0.04581913]
[0.01832477 0.01293202]
[-0.22277774 -0.03334342]
[-0.16182825 -0.00861152]
[-0.23213436 -0.06987948]
[-0.08210499  0.19391821]
[-0.09178256  0.01420742]
[-0.05083535  0.08023552]
[-0.16505795 -0.03217646]
[-0.22441288 -0.05140607]
[-0.12007296 -0.02067659]
[-0.08975545  0.07018769]
[-0.11596516  0.04059486]
[-0.18538414 -0.02567208]
[-0.10787379 -0.05424929]
[-0.05887233  0.24733004]
[0.05810602 0.11301038]
[0.03546494 0.14003136]
[0.18820811 0.06319352]
[-0.09906646 -0.01868676]
[-0.05890642 -0.04769652]
[ 0.15793114 -0.03987984]
[ 0.15974381 -0.03950169]
[ 0.16105821 -0.04007422]
[-0.07800487  0.0288625 ]
[-0.16449863 -0.02836931]
[ 0.18347547 -0.04323336]
[ 0.18043782 -0.04237885]
[ 0.1799923  -0.04175467]
[ 0.18215491 -0.04185886]
[ 0.18141618 -0.03948358]
[ 0.17669353 -0.04027197]
[ 0.18299893 -0.03447318]
[ 0.18721216 -0.04522365]
[ 0.18961001 -0.0442033 ]
[ 0.1852666 -0.041639 ]
[ 0.18637828 -0.04025835]
[ 0.1832781  -0.03164452]
[ 0.1859892  -0.04424839]
[ 0.18166679 -0.04463863]
[ 0.17781943 -0.0270261 ]
[ 0.18937315 -0.03893233]
[ 0.18172962 -0.0465451 ]
[ 0.18243718 -0.04250407]
[ 0.18387959 -0.04446563]
[ 0.18531562 -0.04339641]
[ 0.18995534 -0.04523506]
[ 0.18943739 -0.03954208]
[ 0.18764735 -0.0374979 ]
[ 0.1788628  -0.03794283]
[ 0.18271256 -0.03103364]
[ 0.18313299 -0.04199275]
[ 0.18665243 -0.03971978]
[ 0.18598895 -0.04304447]
[ 0.1865814  -0.04144182]
[ 0.18645667 -0.04453272]
[ 0.18847982 -0.04000925]
[ 0.18238967 -0.04005932]
[ 0.18455217 -0.02764184]
[ 0.18329239 -0.02907377]
[ 0.18621707 -0.03909971]
[ 0.18082094 -0.0340219 ]
[ 0.18584226 -0.0382394 ]
[ 0.18356244 -0.04731386]
[-0.18471823 -0.04037198]
[-0.07184382  0.0376422 ]
[-0.25461644 -0.06232065]
[0.04258697 0.04509408]
[-0.01900216  0.06991423]
[-0.12647558 -0.01827857]
[-0.1901159  -0.04506552]
[ 0.13911946 -0.03246194]
[-0.0888945   0.12815255]
[-0.23628888 -0.08196491]
[-0.12795033 -0.03320294]
[-0.04557648  0.01051513]
[-0.06244925  0.00558841]
[-0.14352231 -0.04044088]
[-0.18912721 -0.0716035 ]
[-0.17056375 -0.0916009 ]
[-0.06721317  0.03554218]
[ 0.14519798 -0.00455568]
[-0.21281485 -0.08093151]
[-0.19256207 -0.05310418]
[-0.14509467  0.02099308]
[0.16865696 0.15414612]
[-0.2206275  -0.18514832]
[-0.11309047  0.04145587]
[-0.12992824 -0.04260158]
[-0.12778418 -0.04540368]
[0.05541793 0.29705242]
[ 0.36763963 -0.04540278]
[-0.29537906 -0.14190812]
[-0.23403212 -0.12763887]
[-0.29513391 -0.18319738]
[-0.34727478 -0.21538506]
[-0.10276617 -0.01620018]
[ 0.20226966 -0.01178624]
[-0.02336864  0.17468635]
[-0.02503972  0.16132582]
[-0.00543883  0.19537327]
[-0.09642397 -0.03755935]
[-0.05771991 -0.06059938]
[0.10372168 0.05548264]
[-0.13183029 -0.05997861]
[-0.13066635 -0.06903788]
[-0.15656738 -0.07645092]
[-0.13805038 -0.07259421]
[-0.12444507 -0.07996987]
[-0.14764138 -0.08209513]
[-0.0019364   0.11679805]
[-0.1591232  -0.01344526]
[-0.15025701 -0.04072838]
[-0.1405317  -0.03642469]
[-0.12194173  0.02357564]
[-0.14066231 -0.07881786]
[-0.09161217  0.0330817 ]
[-0.03263153  0.02024494]
[-0.05654278  0.02738565]
[-0.04823644  0.01909573]
[-0.111308   0.0020738]
[-0.03386834  0.01243971]
[-0.04712783  0.05876172]
[-0.175975   -0.07381464]
[-0.16187362 -0.06600636]
[-0.13588384 -0.06569025]
[-0.09790777 -0.0897721 ]
[0.00893733 0.24894453]
[-0.00976545  0.12420042]
[-0.03161575  0.12581062]
[-0.07129955 -0.04480948]
[-0.09040732 -0.04222912]
[-0.10891231 -0.00596009]
[-0.15052133 -0.04418673]
[-0.12911124 -0.00747424]
[-0.32343827 -0.1176438 ]
[-0.1192079  -0.00232806]
[-0.15817205 -0.05438803]
[-0.04954976  0.012898  ]
[-0.0229434   0.24793673]
[-0.13137362 -0.06836031]
[-0.01154419  0.11649152]
[0.13144627 0.30543477]
[0.09278222 0.27773891]
[0.1023065  0.34307951]
[-0.1243334  -0.07644545]
[-0.07095548  0.06784231]
[0.07812429 0.06257043]
[-0.08470116  0.09398686]
[-0.06633651  0.09800017]
[-0.0693136   0.09203959]
[-0.02902246  0.13154482]
[-0.318423   -0.12302485]
[-0.25954187 -0.12547676]
[-0.26669013 -0.107734  ]
[-0.11577317  0.02151501]
[0.02377978 0.17386891]
[-0.10768473 -0.07697879]
[-0.1577058  -0.08832819]
[-0.05396367  0.0525058 ]
[0.1114163  0.00254417]
[-0.14421846 -0.06809682]
[0.08107184 0.35108969]
[0.03241708 0.32620409]
[ 0.27721925 -0.02031447]
[-0.18918714 -0.07026697]
[0.05482177 0.23360592]
[0.14918849 0.01077791]
[-0.11352102  0.00925588]
[-0.21949375 -0.08920387]
[0.07349633 0.26763198]
[-0.04191484  0.01078409]
[-0.04776439  0.14612049]
[-0.17925208 -0.05854722]
[-0.12473895 -0.03777567]
[-0.10960358  0.08647313]
[-0.07204329 -0.0183606 ]
[-0.05994582  0.01183597]
[-0.00436368  0.07891486]
[-0.01499431  0.06603109]
[-0.13276839 -0.03424789]
[-0.12417249 -0.03991818]
[-0.09083488 -0.04135936]
[-0.14554573 -0.0434108 ]
[-0.08858168 -0.05064431]
[-0.09396889 -0.03027362]
[-0.13848534 -0.03788538]
[-0.09974105 -0.03650772]
[-0.14443119 -0.03299109]
[ 0.04644518 -0.05622211]
[ 0.05150558 -0.06977677]
[-0.21773717 -0.06681536]
[-0.2151443  -0.04750874]
[ 0.1884833  -0.03740561]
[-0.09606525 -0.11155734]
[-0.09151194 -0.11191859]
[-0.23995535 -0.09449807]
[-0.27531517 -0.09158057]
[-0.11056241 -0.07575478]
[-0.07594903  0.00509457]
[0.15737518 0.07268459]
[0.0066945  0.13693126]
[0.20194717 0.00425668]
[0.05232097 0.18381081]
[ 0.22085932 -0.00169118]
[-0.04742477  0.1321493 ]
[ 0.16789245 -0.05168574]
[-0.05098643  0.0570497 ]
[0.03258087 0.13043916]
[-0.04494359  0.06532401]
[-0.23748863 -0.09501441]
[-0.15384377 -0.03015346]
[-0.03468271  0.09862008]
[0.04712388 0.32608758]
[-0.01236366 -0.02531829]
[0.02402626 0.1598888 ]
[-0.03608452  0.05645221]
[-0.10461183 -0.01597432]
[ 0.04209317 -0.05791775]
[0.02694114 0.19789779]
[0.00601549 0.24210808]
[-0.14786863 -0.03979229]
[-0.04110165  0.02697062]
[-0.12894356 -0.04921226]
[-0.11825269 -0.02280171]
[0.03489846 0.03803794]
[-0.04986421 -0.04219368]
[-0.0924596   0.02050055]
[-0.0808826   0.01113764]
[-0.12685655 -0.02110286]
[-0.1419992  -0.02251846]
[-0.12561854 -0.01566516]
[-0.13507707 -0.04053382]
[-0.13112409 -0.00391511]
[-0.10375263 -0.03081993]
[-0.09041889  0.00457454]
[-0.05773789  0.08128825]
[-0.06579414  0.01626853]
[ 0.01172139 -0.05339184]
[0.05507383 0.13626256]
[-0.04511366 -0.00529327]
[-0.00795347  0.16827633]
[-0.4669042  -0.11972592]
[-0.21080898 -0.09322746]
[-0.11835939  0.04212988]
[-0.11361973  0.03812772]
[-0.06662058 -0.07381673]
[-0.05167911  0.06580341]
[-0.20170753 -0.07715434]
[-0.2093745  -0.07976233]
[-0.23350104 -0.09944483]
[-0.19671709 -0.0815554 ]
[-0.23308358 -0.08789272]
[-0.17718255 -0.07326679]
[-0.20218214 -0.07304608]
[-0.23300722 -0.06773944]
[-0.21056009 -0.05608675]
[0.10319469 0.00340139]
[-0.14378626 -0.03013507]
[-0.11951957 -0.03817694]
[-0.06960645 -0.07998315]
[-0.1778152 -0.0804944]
[-0.12918776 -0.05467746]
[-0.16953329 -0.0818848 ]
[-0.13607246 -0.01407394]
[-0.10287784  0.01731543]
[-0.07293968  0.10401197]
[-0.10183711  0.09834708]
[-0.47529333 -0.21589373]
[-0.17579523 -0.10039179]
[-0.04363509  0.14438084]
[-0.04018391 -0.00652367]
[ 0.27292812 -0.01682832]
[-0.1947726  -0.19062148]
[ 0.14904745 -0.03691401]
[-0.05833938  0.11352416]
[-0.13221685 -0.04455951]
